chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
IPS2o	0.0	mmu-mir-466h-5p	6128	no	2⁰iPSC	5.14987514083	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-466h-5p	6128	no	ESC	6.39938626701	ESC	ESC	ESC	
D0	0.0	mmu-mir-297b-5p	6128	no	2°MEF	3.15384593525	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-297b-5p	6128	no	D11H	4.61806797978	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-297b-5p	6128	no	D16H	5.20712962304	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-297b-5p	6128	no	D16L	4.4508053787	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-297b-5p	6128	no	D18H	5.16142904137	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-297b-5p	6128	no	D2H	5.49783056641	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-297b-5p	6128	no	D21Ø	4.51107576299	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-297b-5p	6128	no	D21L	4.43526115254	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-297b-5p	6128	no	D5H	4.63655916005	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-297b-5p	6128	no	D8H	4.88206375874	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-297b-5p	6128	no	1⁰iPSC	5.67433464016	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-297b-5p	6128	no	2⁰iPSC	5.10096554035	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-297b-5p	6128	no	ESC	6.1167883435	ESC	ESC	ESC	
D0	0.0	mmu-mir-297c-5p	6128	no	2°MEF	2.75222895174	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-297c-5p	6128	no	D11H	4.90848827341	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-297c-5p	6128	no	D16H	5.36995904655	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-297c-5p	6128	no	D16L	5.29322844043	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-297c-5p	6128	no	D18H	5.10364554478	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-297c-5p	6128	no	D2H	4.66996186136	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-297c-5p	6128	no	D21Ø	5.4280416268	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-297c-5p	6128	no	D21L	3.99385439227	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-297c-5p	6128	no	D5H	4.54570572959	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-297c-5p	6128	no	D8H	5.21966977118	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-297c-5p	6128	no	1⁰iPSC	6.28474701013	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-297c-5p	6128	no	2⁰iPSC	5.15424033339	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-297c-5p	6128	no	ESC	7.69055842935	ESC	ESC	ESC	
D0	0.0	mmu-mir-467e-5p	6128	no	2°MEF	6.11281866698	2°MEF	High Dox	Day 0	
D11	0.0	mmu-mir-467e-5p	6128	no	D11H	1.49755517245	D11H	High Dox	Day 11	
D16	0.0	mmu-mir-467e-5p	6128	no	D16H	8.6908825957	D16H	High Dox	Day 16	
D16APG2r2	0.0	mmu-mir-467e-5p	6128	no	D16L	7.61639702984	D16L	Low Dox	Day 16	
D18	0.0	mmu-mir-467e-5p	6128	no	D18H	8.17180370884	D18H	High Dox	Day 18	
D2	0.0	mmu-mir-467e-5p	6128	no	D2H	9.02828795937	D2H	High Dox	Day 02	
D21PG2r2DoxMinus	0.0	mmu-mir-467e-5p	6128	no	D21Ø	8.22831799413	D21Ø	Low Dox	Day 21	
D21PG2r2DoxPlus	0.0	mmu-mir-467e-5p	6128	no	D21L	1.23329368167	D21L	Low Dox	Day 21	
D5	0.0	mmu-mir-467e-5p	6128	no	D5H	8.41631704264	D5H	High Dox	Day 05	
D8	0.0	mmu-mir-467e-5p	6128	no	D8H	8.77310418969	D8H	High Dox	Day 08	
IPS1o	0.0	mmu-mir-467e-5p	6128	no	1⁰iPSC	9.78198386745	1⁰iPSC	1⁰iPSC	1⁰iPSC	
IPS2o	0.0	mmu-mir-467e-5p	6128	no	2⁰iPSC	8.72570084698	2⁰iPSC	2⁰iPSC	2⁰iPSC	
rtTA	0.0	mmu-mir-467e-5p	6128	no	ESC	10.2188674875	ESC	ESC	ESC	
D0	0.0	mmu-mir-466d-5p	6128	no	2°MEF	-2.58762105103	2°MEF	High Dox	Day 0	
