chip_Id	Standard_Deviation	Probe	ds_id	Multi_Mapping	Sample_Type	Expression_Value	Sample_ID	LineGraphGroup	Day
7509379091_B	0.0	ILMN_1791759	6646	no	IFN	14.6917619345	180_IFN	NULL	NULL
7509379091_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.04832803857	260_LPS_24	NULL	NULL
7509379091_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.8757419768	142_LPS_2	NULL	NULL
7509379091_F	0.0	ILMN_1791759	6646	no	IFN	14.8964988872	241_IFN	NULL	NULL
7509379091_G	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.67305528706	238_LPS_24	NULL	NULL
7509379091_H	0.0	ILMN_1791759	6646	no	LPS 24 hours	9.095541713	159_LPS_24	NULL	NULL
7509379091_I	0.0	ILMN_1791759	6646	no	IFN	14.9894641951	75_IFN	NULL	NULL
7509379091_J	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.04995738375	218_LPS_24	NULL	NULL
7509379091_K	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.0085372862	169_LPS_2	NULL	NULL
7509379091_L	0.0	ILMN_1791759	6646	no	LPS 24 hours	7.92303851646	187_LPS_24	NULL	NULL
7509379096_A	0.0	ILMN_1791759	6646	no	IFN	14.8802146645	154_IFN	NULL	NULL
7509379096_B	0.0	ILMN_1791759	6646	no	LPS 24 hours	6.75454859194	150_LPS_24	NULL	NULL
7509379096_C	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.8280902041	263_LPS_2	NULL	NULL
7509379096_D	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.5957995391	193_LPS_2	NULL	NULL
7509379096_E	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.9277129749	207_LPS_2	NULL	NULL
7509379096_F	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.08188815718	207_LPS_24	NULL	NULL
7509379096_G	0.0	ILMN_1791759	6646	no	IFN	14.943039326	57_IFN	NULL	NULL
7509379096_H	0.0	ILMN_1791759	6646	no	LPS 2 hours	12.9274786386	180_LPS_2	NULL	NULL
7509379096_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	7.79114756321	142_LPS_24	NULL	NULL
7509379096_J	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.60927586	236_LPS_2	NULL	NULL
7509379096_K	0.0	ILMN_1791759	6646	no	LPS 24 hours	5.197874453	288_LPS_24	NULL	NULL
7509379098_A	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.64476872413	144_LPS_24	NULL	NULL
7509379098_B	0.0	ILMN_1791759	6646	no	LPS 24 hours	7.21616568174	145_LPS_24	NULL	NULL
7509379098_C	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.9140139633	184_LPS_2	NULL	NULL
7509379098_D	0.0	ILMN_1791759	6646	no	IFN	15.0470440328	174_IFN	NULL	NULL
7509379098_E	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.35982440448	67_LPS_24	NULL	NULL
7509379098_F	0.0	ILMN_1791759	6646	no	LPS 24 hours	8.83516160441	91_LPS_24	NULL	NULL
7509379098_G	0.0	ILMN_1791759	6646	no	IFN	14.7579860238	249_IFN	NULL	NULL
7509379098_H	0.0	ILMN_1791759	6646	no	LPS 24 hours	4.42745251455	156_LPS_24	NULL	NULL
7509379098_I	0.0	ILMN_1791759	6646	no	IFN	14.8651845754	74_IFN	NULL	NULL
7509379098_J	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.3312303476	250_LPS_2	NULL	NULL
7509379098_K	0.0	ILMN_1791759	6646	no	IFN	14.7864066928	230_IFN	NULL	NULL
7509379098_L	0.0	ILMN_1791759	6646	no	IFN	14.9536545304	108_IFN	NULL	NULL
7509379107_A	0.0	ILMN_1791759	6646	no	IFN	14.943039326	86_IFN	NULL	NULL
7509379107_B	0.0	ILMN_1791759	6646	no	LPS 2 hours	14.0620056836	65_LPS_2	NULL	NULL
7509379107_C	0.0	ILMN_1791759	6646	no	LPS 24 hours	12.9179130904	171_LPS_24	NULL	NULL
7509379107_D	0.0	ILMN_1791759	6646	no	IFN	14.9326599733	155_IFN	NULL	NULL
7509379107_E	0.0	ILMN_1791759	6646	no	LPS 24 hours	5.68287662061	271_LPS_24	NULL	NULL
7509379107_F	0.0	ILMN_1791759	6646	no	IFN	14.9140139633	195_IFN	NULL	NULL
7509379107_G	0.0	ILMN_1791759	6646	no	IFN	15.1149332325	70_IFN	NULL	NULL
7509379107_H	0.0	ILMN_1791759	6646	no	LPS 2 hours	13.6665318331	174_LPS_2	NULL	NULL
7509379107_I	0.0	ILMN_1791759	6646	no	LPS 24 hours	10.4274596736	137_LPS_24	NULL	NULL
7509379107_J	0.0	ILMN_1791759	6646	no	LPS 2 hours	11.8045741328	286_LPS_2	NULL	NULL
